%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
317.03	1.00	1.11	-5.22
317.39	1.00	1.13	-5.12
317.77	1.00	1.06	-5.27
318.33	1.00	0.99	-5.42
318.61	1.00	1.08	-5.44
319.07	1.00	0.88	-5.42
319.40	1.00	0.95	-5.29
319.69	1.00	0.93	-5.37
320.10	1.00	1.20	-5.24
320.37	1.00	1.02	-5.24
320.68	1.00	0.80	-5.26
321.31	1.00	0.62	-5.35
321.84	1.00	0.79	-4.99
322.88	1.00	0.93	-5.27
323.58	1.00	0.54	-5.30
325.05	1.00	0.86	-5.61
325.60	1.00	0.95	-5.18
327.11	1.00	0.93	-5.22
329.37	1.00	0.42	-5.30
329.95	1.00	0.54	-5.34
331.31	1.00	0.86	-5.43
332.00	1.00	1.00	-5.44
333.41	1.00	0.66	-5.36
334.12	1.00	0.48	-5.29
335.39	1.00	0.82	-5.37
335.98	1.00	0.94	-5.22
337.47	1.00	0.64	-5.47
337.98	1.00	0.67	-5.10
339.40	1.00	0.16	-5.16
339.95	1.00	0.27	-5.29
341.31	1.00	0.77	-5.27
342.17	1.00	0.50	-5.29
343.46	1.00	0.42	-5.28
344.13	1.00	0.55	-5.05
345.44	1.00	0.28	-5.22
346.05	1.00	0.64	-5.23
347.36	1.00	0.64	-5.43
348.01	1.00	0.53	-5.41
349.25	1.00	0.64	-5.48
349.92	1.00	0.58	-5.35
351.27	1.00	0.35	-5.48
352.03	1.00	0.53	-5.39
353.33	1.00	0.58	-5.37
353.90	1.00	0.69	-5.26
355.58	1.00	0.67	-5.39
355.97	1.00	0.41	-5.59
357.27	1.00	0.36	-5.15
357.81	1.00	0.41	-5.38
359.10	1.00	0.31	-5.25
359.49	1.00	0.32	-5.43
360.59	1.00	0.19	-5.30
361.28	1.00	0.29	-5.40
362.44	1.00	0.41	-5.50
363.36	1.00	0.33	-5.40
364.53	1.00	0.86	-5.48
365.39	1.00	0.65	-5.24
366.67	1.00	0.73	-4.98
367.33	1.00	0.77	-5.32
368.62	1.00	0.68	-5.28
369.33	1.00	0.84	-5.43
370.72	1.00	0.51	-5.20
371.45	1.00	1.37	-5.64
372.68	1.00	0.78	-5.28
373.31	1.00	1.11	-5.09
374.64	1.00	0.70	-5.32
375.38	1.00	0.58	-5.45
376.80	1.00	0.82	-5.52
377.38	1.00	1.28	-5.55
378.79	1.00	1.25	-5.47
379.45	1.00	1.25	-5.38
380.82	1.00	1.58	-5.46
381.34	1.00	1.32	-5.50
382.56	1.00	1.58	-5.34
383.20	1.00	1.72	-5.51
384.69	1.00	1.40	-5.40
385.35	1.00	1.63	-5.35
386.53	1.00	1.56	-5.54
387.51	1.00	1.38	-5.35
388.78	1.00	1.02	-5.36
389.45	1.00	1.09	-5.41
390.99	1.00	1.16	-5.51
391.72	1.00	1.01	-5.46
393.21	1.00	0.95	-5.57
393.88	1.00	1.16	-5.43
395.24	1.00	1.04	-5.44
395.87	1.00	1.04	-5.58
398.80	1.00	0.94	-5.52
399.13	1.00	0.52	-5.62
399.38	1.00	0.73	-5.44
399.66	1.00	1.15	-5.58
399.84	1.00	1.21	-5.73
400.86	1.00	1.10	-5.33
401.53	1.00	1.17	-5.49
402.99	1.00	1.46	-5.55
403.59	1.00	1.10	-5.56
404.92	1.00	1.04	-5.52
405.61	1.00	1.31	-5.32
406.93	1.00	0.96	-5.69
407.70	1.00	0.84	-5.56
408.78	1.00	1.01	-5.56
409.34	1.00	0.91	-5.40
410.07	1.00	0.37	-5.57
411.13	1.00	1.19	-5.70
412.59	1.00	1.01	-5.57
413.17	1.00	1.11	-5.34
414.51	1.00	2.07	-5.11
415.34	1.00	0.93	-5.36
416.77	1.00	0.58	-5.60
417.57	1.00	1.05	-5.65
418.76	1.00	1.35	-5.62
419.51	1.00	1.31	-5.39
420.79	1.00	0.91	-5.63
421.54	1.00	0.77	-5.43
422.76	1.00	0.78	-5.67
422.87	1.00	0.98	-5.74
423.46	1.00	0.85	-5.45
423.56	1.00	1.10	-5.56
424.46	1.00	0.97	-5.53
425.36	1.00	0.83	-5.55
426.58	1.00	0.90	-5.45
427.54	1.00	0.90	-5.74
428.68	1.00	1.01	-5.42
429.46	1.00	0.71	-5.56
430.72	1.00	0.90	-5.75
431.37	1.00	1.02	-5.72
432.58	1.00	1.22	-5.69
433.30	1.00	0.94	-5.44
434.41	1.00	0.47	-5.79
435.07	1.00	0.96	-5.79
436.26	1.00	1.10	-5.75
436.92	1.00	0.98	-5.80
438.42	1.00	0.98	-5.67
438.92	1.00	0.83	-5.86
439.91	1.00	0.68	-5.84
440.01	1.00	0.66	-5.78
440.60	1.00	1.21	-5.62
441.87	1.00	0.65	-6.01
442.58	1.00	0.69	-5.79
443.87	1.00	0.68	-5.58
444.52	1.00	0.91	-5.90
445.91	1.00	0.42	-5.74
446.41	1.00	0.75	-5.76
447.68	1.00	0.47	-5.59
448.39	1.00	0.33	-5.90
449.67	1.00	0.21	-5.57
450.38	1.00	0.74	-5.62
451.62	1.00	0.77	-5.71
452.40	1.00	0.24	-5.74
453.69	1.00	0.13	-5.68
454.34	1.00	-0.43	-5.69
455.44	1.00	0.14	-5.81
455.79	1.00	-0.23	NaN
456.17	1.00	0.42	-5.58
457.60	1.00	-0.12	-5.54
459.28	1.00	0.32	-5.76
460.18	1.00	1.15	NaN
461.02	1.00	0.76	-5.79
461.79	1.00	1.13	-5.68
462.55	1.00	1.31	-5.87
463.66	1.00	1.09	-5.80
464.45	1.00	0.86	-5.86
465.47	1.00	0.86	-5.63
465.76	1.00	0.96	-5.37
466.40	1.00	0.62	-5.54
466.62	1.00	0.57	-5.41
466.88	1.00	0.57	-5.48
467.19	1.00	0.88	-5.49
467.52	1.00	0.84	-5.59
467.72	1.00	0.68	-5.37
467.85	1.00	0.28	-5.35
467.93	1.00	0.07	-5.44
468.18	1.00	0.30	-5.55
468.81	1.00	0.53	-5.71
469.09	1.00	0.96	-5.74
469.44	1.00	1.01	-5.62
470.01	1.00	0.73	-5.93
470.07	1.00	0.76	-5.76
470.55	1.00	1.01	-5.47
470.66	1.00	1.08	-5.61
471.43	1.00	1.03	-5.60
471.93	1.00	1.17	-5.62
471.99	1.00	0.89	-5.88
472.30	1.00	1.27	-5.89
472.46	1.00	1.11	-5.79
472.60	1.00	1.30	-5.59
472.90	1.00	1.00	-5.76
473.61	1.00	1.04	-5.80
473.90	1.00	1.36	-5.77
474.18	1.00	1.31	-5.71
474.50	1.00	1.40	-5.75
474.99	1.00	1.32	-5.66
475.33	1.00	1.45	-5.69
475.67	1.00	1.34	-5.58
475.87	1.00	1.07	-5.67
476.11	1.00	1.09	-5.82
476.64	1.00	1.05	-5.71
476.80	1.00	1.07	-5.77
476.98	1.00	NaN	NaN
477.48	1.00	0.88	-5.66
478.55	1.00	0.83	-5.80
478.97	1.00	0.91	-5.99
479.63	1.00	1.14	-5.84
479.86	1.00	1.00	-5.85
480.17	1.00	0.93	-5.75
480.46	1.00	1.18	-5.78
481.41	1.00	1.60	-5.51
481.53	1.00	1.79	-5.51
481.66	1.00	0.85	-5.42
481.74	1.00	1.17	-5.67
482.06	1.00	1.35	-5.78
482.11	1.00	1.51	-5.81
482.29	1.00	1.50	-5.67
482.53	1.00	1.48	-5.71
482.69	1.00	1.19	-5.57
482.93	1.00	0.89	-5.60
483.13	1.00	0.76	-5.71
483.34	1.00	1.01	-5.68
483.75	1.00	0.82	-5.65
483.81	1.00	0.91	-5.60
484.35	1.00	1.27	-5.72
484.44	1.00	1.41	-5.29
484.91	1.00	1.48	-5.72
485.53	1.00	1.15	-5.93
485.74	1.00	1.47	-5.72
486.12	1.00	1.41	-5.78
486.33	1.00	1.47	-5.79
486.46	1.00	1.46	-5.90
486.95	1.00	1.79	-5.80
487.10	1.00	1.79	-5.70
487.54	1.00	2.35	-5.89
487.88	1.00	1.77	-5.68
488.43	1.00	2.08	-5.72
488.83	1.00	1.87	-5.82
488.98	1.00	2.17	-5.61
489.73	1.00	1.93	-5.76
490.05	1.00	1.98	-5.82
490.24	1.00	1.92	-5.73
490.92	1.00	1.86	-5.50
491.30	1.00	1.44	-5.61
491.65	1.00	1.54	-5.75
492.08	1.00	1.28	-5.64
492.38	1.00	1.53	-5.58
492.70	1.00	1.56	-5.83
493.02	1.00	1.64	-5.79
493.42	1.00	1.61	-5.79
493.61	1.00	1.71	-5.82
493.85	1.00	1.30	-5.82
494.70	1.00	1.56	-5.61
494.96	1.00	1.65	-5.56
495.31	1.00	1.48	-5.60
495.73	1.00	1.50	-5.57
496.14	1.00	1.48	-5.66
496.47	1.00	1.44	-5.75
496.92	1.00	1.53	-5.67
497.28	1.00	1.52	-5.31
497.53	1.00	1.42	-5.25
497.63	1.00	1.29	-5.40
498.02	1.00	1.13	-5.35
498.89	1.00	1.27	-5.37
499.05	1.00	1.25	-5.19
499.41	1.00	1.21	-5.57
499.59	1.00	1.10	-5.51
500.10	1.00	1.08	-5.57
500.39	1.00	1.03	-5.60
500.72	1.00	1.20	-5.95
500.90	1.00	1.15	-5.80
501.19	1.00	1.23	-5.83
501.21	1.00	0.95	-5.82
501.49	1.00	0.99	-5.64
501.80	1.00	1.03	-5.64
502.28	1.00	1.07	-5.60
502.64	1.00	1.02	-5.54
503.06	1.00	0.91	-5.77
503.35	1.00	0.73	-5.80
503.82	1.00	0.83	-5.52
504.31	1.00	0.96	-5.58
504.50	1.00	0.93	-5.59
504.80	1.00	1.01	-5.87
504.99	1.00	1.03	-5.90
505.25	1.00	1.35	-5.72
505.60	1.00	2.04	-5.49
505.81	1.00	1.82	-5.29
505.83	1.00	2.34	-5.29
505.85	1.00	1.51	-5.43
506.19	1.00	1.22	-5.72
506.83	1.00	1.08	-5.68
506.97	1.00	1.04	-5.71
507.36	1.00	0.87	-5.68
507.65	1.00	0.99	-5.48
508.08	1.00	0.76	-5.65
508.65	1.00	0.88	-5.75
508.93	1.00	0.83	-5.63
509.44	1.00	0.85	-5.80
509.67	1.00	0.96	-5.78
509.86	1.00	0.92	-5.88
510.26	1.00	0.84	-5.58
510.57	1.00	0.94	-5.62
510.99	1.00	0.98	-5.66
511.21	1.00	1.18	-5.51
511.69	1.00	1.06	-5.54
512.31	1.00	1.11	-5.90
512.47	1.00	0.98	-5.68
512.67	1.00	1.21	-5.64
512.96	1.00	1.03	-5.67
513.36	1.00	0.82	-5.97
513.95	1.00	0.76	-5.77
514.14	1.00	0.96	-5.85
514.78	1.00	0.97	-5.83
515.23	1.00	0.96	-5.75
515.85	1.00	1.00	-5.79
516.42	1.00	1.17	-5.78
516.61	1.00	1.39	-5.82
517.18	1.00	1.11	-5.99
517.31	1.00	1.12	-5.68
518.12	1.00	1.07	-5.72
518.54	1.00	1.34	-5.79
518.92	1.00	1.14	-5.70
519.16	1.00	1.01	-5.79
519.40	1.00	1.03	-5.75
519.94	1.00	1.28	-5.88
520.67	1.00	0.77	-5.67
521.26	1.00	0.87	-5.65
521.37	1.00	0.99	-5.58
521.66	1.00	1.02	-5.61
521.94	1.00	1.05	-5.60
522.24	1.00	1.24	-5.50
523.64	1.00	0.79	-5.83
523.76	1.00	0.89	-5.81
524.05	1.00	0.98	-5.86
524.14	1.00	0.92	-5.98
524.54	1.00	0.85	-5.94
524.86	1.00	0.58	-5.86
525.12	1.00	0.80	-5.79
525.34	1.00	0.80	-5.78
525.81	1.00	0.98	-5.70
526.16	1.00	1.22	-5.61
527.04	1.00	1.23	-5.62
527.36	1.00	1.29	-5.63
527.68	1.00	1.75	-5.55
527.97	1.00	1.60	-5.32
528.27	1.00	1.61	-5.44
528.58	1.00	0.04	-5.45
528.63	1.00	0.47	-5.60
528.74	1.00	0.24	-5.64
529.21	1.00	0.36	-5.67
529.38	1.00	0.32	-5.54
530.00	1.00	0.43	-5.81
530.32	1.00	0.38	-5.80
531.00	1.00	0.38	-5.76
531.53	1.00	0.28	-5.83
531.79	1.00	0.29	-5.88
532.18	1.00	0.26	-5.93
532.66	1.00	0.18	-5.72
533.09	1.00	0.60	-5.97
533.38	1.00	0.07	-6.00
533.79	1.00	0.24	-5.69
533.96	1.00	0.31	-5.83
534.20	1.00	0.61	-5.86
534.70	1.00	0.50	-5.92
535.41	1.00	0.24	-5.90
535.65	1.00	0.42	-5.72
535.91	1.00	0.27	-5.85
536.30	1.00	0.00	-5.78
536.59	1.00	0.13	-6.01
537.45	1.00	0.28	-5.89
537.59	1.00	-0.14	-5.73
537.87	1.00	0.24	-6.06
538.22	1.00	0.24	-5.86
538.55	1.00	0.17	-5.84
539.08	1.00	0.45	-6.07
539.37	1.00	0.16	-5.92
539.61	1.00	0.30	-6.04
539.90	1.00	-0.25	-5.88
540.07	1.00	0.15	-6.10
540.82	1.00	0.57	-6.04
541.22	1.00	0.19	-6.03
541.70	1.00	0.55	-6.23
541.90	1.00	0.25	-6.07
542.22	1.00	0.31	-6.10
543.24	1.00	0.46	-6.04
543.63	1.00	0.34	-5.96
544.18	1.00	0.41	-6.08
544.46	1.00	0.28	-6.07
544.63	1.00	0.32	-6.13
545.46	1.00	0.26	-6.00
545.91	1.00	0.13	-6.02
546.24	1.00	0.29	-6.08
546.70	1.00	-0.22	-5.82
546.82	1.00	0.02	-5.97
547.42	1.00	0.26	-6.00
547.81	1.00	-0.11	-6.07
548.17	1.00	0.26	-6.01
548.26	1.00	0.24	-6.04
548.58	1.00	-0.09	-6.14
549.13	1.00	0.12	-6.33
549.55	1.00	0.11	-6.26
549.87	1.00	0.11	-6.15
550.25	1.00	0.02	-5.80
550.66	1.00	0.24	-6.06
551.34	1.00	-0.26	-5.95
551.89	1.00	-0.19	-6.04
552.17	1.00	-0.29	-6.05
552.42	1.00	-0.20	-5.99
552.67	1.00	-0.41	-5.92
553.18	1.00	-0.32	-6.11
553.46	1.00	-0.27	-6.00
553.77	1.00	-0.33	-6.03
554.22	1.00	-0.31	-6.02
554.66	1.00	-0.51	-6.13
555.23	1.00	-0.46	-6.09
555.54	1.00	-0.17	-6.13
555.77	1.00	-0.17	-6.14
555.84	1.00	0.22	-6.02
556.53	1.00	-0.26	-6.00
557.47	1.00	0.03	-6.12
557.65	1.00	0.06	-6.08
557.86	1.00	-0.49	-5.84
558.29	1.00	-0.52	-5.99
558.62	1.00	-0.48	-6.04
559.34	1.00	-0.23	-6.14
559.71	1.00	-0.33	-6.11
560.04	1.00	-0.18	-6.41
560.36	1.00	-0.19	-6.37
560.68	1.00	-0.11	-6.41
561.32	1.00	-0.34	-6.29
561.64	1.00	-0.62	-6.12
561.92	1.00	-0.30	-6.24
562.22	1.00	-0.12	-6.16
562.55	1.00	0.09	-6.16
563.31	1.00	0.01	-6.38
563.62	1.00	0.14	-6.39
563.86	1.00	-0.08	-6.34
564.19	1.00	0.21	-6.25
564.28	1.00	0.04	-6.32
564.73	1.00	0.81	-6.25
565.06	1.00	0.78	-6.17
565.37	1.00	0.47	-6.25
565.78	1.00	0.48	-6.23
565.99	1.00	0.46	-6.37
567.31	1.00	0.31	-6.36
567.64	1.00	0.21	-6.14
567.89	1.00	0.24	-6.21
568.10	1.00	0.64	-6.22
568.85	1.00	0.58	-6.29
569.32	1.00	0.20	-6.11
569.52	1.00	0.35	-6.08
570.04	1.00	-0.52	-6.06
570.30	1.00	0.02	-6.05
570.67	1.00	0.67	-6.48
571.11	1.00	1.36	-6.41
571.54	1.00	1.06	-6.29
571.74	1.00	1.20	-6.27
572.15	1.00	1.76	-6.31
572.44	1.00	1.00	-6.21
572.86	1.00	0.94	-6.35
573.45	1.00	0.82	-6.32
573.70	1.00	0.87	-6.21
573.90	1.00	1.05	-6.32
574.29	1.00	1.43	-6.26
574.59	1.00	1.35	-6.33
575.11	1.00	1.60	-6.24
575.41	1.00	1.11	-6.36
576.29	1.00	1.18	-6.34
577.11	1.00	0.37	-6.01
577.47	1.00	1.91	-6.31
578.12	1.00	1.62	-6.25
578.55	1.00	0.36	-6.08
578.68	1.00	0.22	-6.26
578.92	1.00	0.16	-6.02
579.01	1.00	0.30	-6.14
579.30	1.00	0.07	-6.08
579.63	1.00	0.27	-6.25
579.91	1.00	0.02	-6.41
580.66	1.00	0.11	-6.32
581.76	1.00	-0.02	-6.39
582.26	1.00	-0.55	-6.30
583.08	1.00	-0.56	-6.37
583.24	1.00	-0.49	-6.37
583.46	1.00	0.13	-6.33
583.87	1.00	0.44	-6.53
584.05	1.00	0.35	-5.92
584.18	1.00	0.59	-6.00
584.81	1.00	0.97	-5.95
585.19	1.00	0.96	-5.87
585.40	1.00	0.62	-6.04
586.01	1.00	0.81	-6.09
586.20	1.00	0.69	-5.93
586.54	1.00	0.69	-6.08
587.31	1.00	0.69	-5.56
587.99	1.00	0.58	-5.99
588.24	1.00	0.67	-5.87
588.25	1.00	0.36	-5.85
588.26	1.00	0.58	-5.78
588.50	1.00	0.37	-5.79
588.58	1.00	0.65	-5.75
589.20	1.00	0.46	-5.88
589.78	1.00	0.29	-5.91
590.14	1.00	0.28	-5.78
590.67	1.00	0.18	-5.82
590.86	1.00	0.27	-5.78
591.20	1.00	0.42	-6.01
591.79	1.00	0.55	-5.95
591.98	1.00	0.36	-5.97
592.42	1.00	0.36	-6.02
592.69	1.00	0.32	-5.84
593.19	1.00	0.56	-5.89
593.78	1.00	1.00	-5.92
594.09	1.00	1.12	-5.73
594.44	1.00	0.80	-5.88
594.91	1.00	0.66	-5.99
595.43	1.00	0.34	-6.19
596.16	1.00	0.39	-5.89
596.68	1.00	0.71	-5.86
596.82	1.00	0.59	-5.85
597.04	1.00	0.76	-5.80
597.43	1.00	0.81	-5.83
597.87	1.00	0.67	-6.23
598.41	1.00	0.61	-5.92
598.64	1.00	0.87	-5.96
599.21	1.00	0.86	-5.96
599.29	1.00	0.66	-6.09
600.01	1.00	0.82	-6.09
600.34	1.00	0.90	-5.80
600.41	1.00	0.82	-6.06
601.06	1.00	0.88	-5.83
601.28	1.00	0.92	-5.78
602.13	1.00	0.79	-5.99
602.47	1.00	0.77	-5.84
602.82	1.00	0.86	-5.80
603.10	1.00	0.85	-5.93
603.53	1.00	0.76	-5.96
604.22	1.00	1.04	-5.57
604.63	1.00	1.11	-5.85
604.88	1.00	1.65	-5.59
605.30	1.00	1.70	-5.37
605.58	1.00	0.69	-5.25
606.24	1.00	0.30	-6.04
606.73	1.00	0.10	-5.66
607.06	1.00	0.31	-5.67
607.41	1.00	0.24	-5.56
607.74	1.00	0.27	-5.79
608.46	1.00	0.51	-5.64
608.68	1.00	1.32	-5.58
608.95	1.00	1.41	-5.54
609.02	1.00	1.27	-5.54
609.16	1.00	1.57	-5.50
609.63	1.00	2.38	-5.53
610.01	1.00	2.28	-5.63
610.51	1.00	2.60	-5.22
610.67	1.00	2.78	-5.05
610.82	1.00	2.36	-5.44
610.93	1.00	2.85	-5.72
611.00	1.00	3.17	-5.58
611.12	1.00	2.32	-5.56
611.48	1.00	1.48	-5.64
611.71	1.00	0.94	-5.70
612.20	1.00	1.03	-5.69
612.52	1.00	1.24	-5.52
612.60	1.00	0.99	-5.37
613.05	1.00	1.13	-5.48
613.45	1.00	0.75	-5.63
613.91	1.00	0.84	-5.62
614.63	1.00	1.03	-5.54
614.75	1.00	1.35	-5.59
614.93	1.00	1.54	-5.64
615.53	1.00	1.49	-5.69
616.15	1.00	1.70	-5.46
616.70	1.00	2.07	-5.40
617.24	1.00	2.09	-5.44
617.61	1.00	1.87	-5.45
617.84	1.00	1.87	-5.81
618.00	1.00	2.10	-5.77
618.10	1.00	2.51	-5.58
618.17	1.00	2.41	-5.56
618.46	1.00	2.55	-5.66
618.80	1.00	2.57	-5.67
619.27	1.00	2.63	-5.66
620.10	1.00	2.00	-5.55
620.40	1.00	1.75	-5.56
620.84	1.00	2.03	-5.51
621.05	1.00	2.12	-5.53
621.48	1.00	2.18	-5.61
622.43	1.00	2.15	-5.26
622.48	1.00	2.50	-5.21
622.94	1.00	2.49	-5.30
623.03	1.00	3.02	-5.30
623.19	1.00	2.03	-5.69
623.73	1.00	1.96	-5.63
623.80	1.00	2.43	-5.67
624.46	1.00	3.59	-5.34
624.68	1.00	3.79	-5.35
625.01	1.00	1.49	-5.67
626.14	1.00	1.09	-5.40
626.62	1.00	1.16	-5.41
626.90	1.00	0.79	-5.45
627.49	1.00	1.09	-5.46
627.90	1.00	1.58	-5.32
628.62	1.00	2.00	-5.56
629.17	1.00	2.02	-5.66
630.02	1.00	1.62	-5.44
631.03	1.00	1.60	-5.40
631.21	1.00	1.37	-5.38
631.93	1.00	1.69	-5.21
632.01	1.00	1.78	-5.23
632.95	1.00	1.84	-5.46
633.58	1.00	1.66	-5.45
633.87	1.00	2.05	-5.47
634.39	1.00	1.97	-5.28
634.65	1.00	1.89	-5.30
634.72	1.00	2.12	-5.28
634.93	1.00	2.29	-5.44
634.99	1.00	2.68	-5.27
635.57	1.00	2.28	-5.48
635.74	1.00	2.16	-5.41
636.00	1.00	2.17	-5.39
636.69	1.00	1.94	-5.49
636.82	1.00	2.30	-5.34
637.35	1.00	2.32	-5.08
637.82	1.00	2.82	-5.17
638.02	1.00	3.07	-5.17
638.29	1.00	2.83	-5.33
638.55	1.00	2.69	-5.29
639.88	1.00	2.06	-5.46
640.08	1.00	1.66	-5.34
640.37	1.00	1.66	-5.28
640.48	1.00	1.79	-5.26
640.84	1.00	2.27	-5.29
640.90	1.00	2.33	-5.21
641.07	1.00	2.47	-5.36
641.23	1.00	2.78	-5.30
642.05	1.00	3.08	-5.33
642.44	1.00	3.04	-5.31
642.63	1.00	3.01	-5.22
643.42	1.00	2.88	-4.94
643.89	1.00	2.41	-5.06
644.94	1.00	2.35	-5.15
645.42	1.00	3.31	-5.09
645.83	1.00	4.14	-4.94
646.03	1.00	2.08	-4.93
646.59	1.00	2.16	-4.96
647.21	1.00	2.46	-4.87
647.61	1.00	2.20	-4.97
