%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
35.16	1.00	3.42	-4.57
35.55	1.00	3.20	-4.68
35.67	1.00	3.14	-4.63
35.97	1.00	2.90	-4.66
36.07	1.00	2.93	-4.74
36.33	1.00	2.92	-4.78
36.51	1.00	2.80	-4.85
36.60	1.00	2.83	-4.76
36.72	1.00	2.91	-4.70
36.91	1.00	2.80	-4.55
37.22	1.00	2.75	-4.48
37.43	1.00	2.85	-4.38
37.57	1.00	2.86	-4.50
37.90	1.00	2.96	-4.59
38.10	1.00	2.97	-4.59
38.29	1.00	2.97	-4.56
38.47	1.00	2.92	-4.64
38.82	1.00	2.84	-4.68
38.87	1.00	2.68	-4.68
38.99	1.00	2.92	-4.76
39.30	1.00	3.43	-4.63
39.50	1.00	3.58	-4.34
39.78	1.00	3.30	-4.30
39.99	1.00	3.23	-4.33
40.21	1.00	3.06	-4.31
40.51	1.00	3.05	-4.23
40.88	1.00	3.26	-3.83
41.30	1.00	3.58	-3.85
41.55	1.00	2.78	-4.45
41.58	1.00	2.96	-4.60
41.70	1.00	3.00	-4.62
41.85	1.00	3.02	-4.46
42.18	1.00	NaN	NaN
42.30	1.00	2.73	-4.60
42.45	1.00	2.70	-4.67
42.50	1.00	2.81	-4.65
42.83	1.00	2.90	-4.64
42.99	1.00	2.90	-4.63
43.34	1.00	3.00	-4.83
43.48	1.00	2.93	-4.76
43.66	1.00	2.85	-4.76
43.80	1.00	2.73	-4.62
44.07	1.00	2.78	-4.78
44.61	1.00	2.83	-4.45
44.78	1.00	2.65	-4.43
44.92	1.00	2.65	-4.46
45.06	1.00	2.41	-4.36
45.38	1.00	2.77	-4.54
45.44	1.00	2.81	-4.60
45.79	1.00	2.88	-4.51
45.85	1.00	2.76	-4.69
46.20	1.00	2.85	-4.62
46.40	1.00	2.80	-4.62
46.42	1.00	2.85	-4.63
46.63	1.00	2.80	-4.75
46.76	1.00	2.80	-4.76
46.99	1.00	2.83	-4.80
47.10	1.00	2.79	-4.63
47.33	1.00	2.79	-4.76
47.47	1.00	2.95	-4.58
47.70	1.00	2.72	-4.64
47.77	1.00	2.67	-4.80
48.03	1.00	2.59	-4.56
48.12	1.00	2.56	-4.64
48.42	1.00	3.00	-4.64
48.55	1.00	2.99	-4.75
49.08	1.00	2.99	-4.78
49.13	1.00	3.06	-4.91
49.43	1.00	2.92	-4.78
49.53	1.00	2.56	-4.73
49.61	1.00	2.64	-4.80
49.88	1.00	2.41	-4.73
49.92	1.00	2.30	-4.79
50.00	1.00	2.54	-4.75
50.27	1.00	2.33	-4.71
50.58	1.00	2.64	-4.52
50.75	1.00	2.35	-4.71
50.82	1.00	2.18	-4.61
51.03	1.00	1.97	-4.85
51.11	1.00	2.53	-4.89
51.29	1.00	2.07	-4.91
51.43	1.00	2.78	-4.93
51.57	1.00	2.54	-4.76
51.81	1.00	2.66	-4.96
52.15	1.00	2.56	-4.80
52.51	1.00	2.25	-4.96
52.64	1.00	2.19	-4.66
52.93	1.00	2.71	-4.89
53.29	1.00	2.17	-4.63
53.55	1.00	2.31	-4.51
53.62	1.00	2.22	-4.57
53.77	1.00	2.30	-4.63
53.97	1.00	2.29	-4.74
54.15	1.00	2.21	-4.63
54.40	1.00	2.14	-4.74
54.69	1.00	2.23	-4.66
55.00	1.00	2.34	-4.81
55.22	1.00	2.32	-4.76
55.28	1.00	2.25	-4.78
55.31	1.00	2.14	-4.75
55.68	1.00	2.30	-4.63
55.76	1.00	2.18	-4.57
55.93	1.00	2.07	-4.62
56.33	1.00	2.10	-4.60
56.77	1.00	1.81	-4.56
56.81	1.00	1.70	-4.57
57.05	1.00	1.96	-4.73
57.23	1.00	1.79	-4.46
57.34	1.00	1.97	-4.54
57.57	1.00	NaN	NaN
57.76	1.00	1.96	-4.55
58.01	1.00	1.57	-4.47
58.19	1.00	1.59	-4.51
58.40	1.00	1.51	-4.63
58.67	1.00	1.43	-4.62
58.81	1.00	NaN	NaN
59.05	1.00	1.46	-4.52
59.11	1.00	1.69	-4.38
59.37	1.00	1.71	-4.61
59.51	1.00	1.56	-4.52
59.80	1.00	1.91	-4.64
60.04	1.00	1.77	-4.55
60.24	1.00	1.56	-4.52
60.38	1.00	1.41	-4.63
